publication_title,pdf_title,pdf_url,publication_url,publication_type,date
Informe de sostenibilidad 2025,Informe de sostenibilidad 2025,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Informe+de+sostenibilidad+de+Canal+de+Isabel+II+2025.pdf/ef6ac4d1-5f6e-d10c-8300-e9cbbd168eb9,https://www.canaldeisabelsegunda.es/publicaciones,corporativas,2026-05-29
Revista Canal&tú - especial 175 aniversario,Revista Canal&tú - especial 175 aniversario,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Especial+175+Aniversario_2026.pdf/5e4c05bb-a52f-8d20-7417-3030e3e77859,https://www.canaldeisabelsegunda.es/publicaciones,revista,2026-03-20
Nuestras tarifas,Nuestras tarifas,https://www.canaldeisabelsegunda.es/documents/d/site/tarifas-1,https://www.canaldeisabelsegunda.es/publicaciones,nuestros-clientes,2026-01-02
Revista Canal&tú - n.º 72,Revista Canal&tú - n.º 72,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/revista-canal-diciembre-2025+%281%29.pdf/eac4c673-cd3a-c5cf-45ed-8f2dc1db2fee,https://www.canaldeisabelsegunda.es/publicaciones,revista,2025-12-15
Revista Canal&tú - n.º 71,Revista Canal&tú - n.º 71,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/revista-canal-septiembre-2025.pdf/d5f463e9-46fe-373a-2cd4-93a86ac9c86a,https://www.canaldeisabelsegunda.es/publicaciones,revista,2025-09-04
Informe de sostenibilidad 2024,Informe de sostenibilidad 2024,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Informe+Sostenibilidad+2025_.pdf/43c4e183-1656-3c2b-a673-5445282ad031,https://www.canaldeisabelsegunda.es/publicaciones,corporativas,2025-05-26
Revista Canal&tú - n.º 70,Revista Canal&tú - n.º 70,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/revista-canal-70-mayo-2025.pdf/dd024539-9ee9-bdae-1032-bb9695e7591d,https://www.canaldeisabelsegunda.es/publicaciones,revista,2025-05-07
Revista Canal&tú - n.º 69,Revista Canal&tú - n.º 69,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/revista-canal-69.pdf/846a53e4-97da-0370-1de5-070049cf5564,https://www.canaldeisabelsegunda.es/publicaciones,revista,2025-02-25
Revista Canal&tú - n.º 68,Revista Canal&tú - n.º 68,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/revista-canal-68.pdf/c6df4527-eb12-2a64-e3eb-f4120de9704a,https://www.canaldeisabelsegunda.es/publicaciones,revista,2024-11-29
Plan de sostenibilidad 2024-2026,Plan de sostenibilidad 2024-2026,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Plan+de+sosteniblidad+2024-2026.pdf/6fea5f2d-5d9f-a93d-97ad-bd4918451520,https://www.canaldeisabelsegunda.es/publicaciones,corporativas,2024-10-08
Revista Canal&tú - n.º 67,Revista Canal&tú - n.º 67,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/revista-canal-67.pdf/78b9afda-8dcf-1e25-c624-cc8ae435e03e,https://www.canaldeisabelsegunda.es/publicaciones,revista,2024-09-19
Informe de sostenibilidad 2023,Informe de sostenibilidad 2023,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/IS23.pdf/64b4bb03-278a-2cf3-25c5-d126a19cd5e3,https://www.canaldeisabelsegunda.es/publicaciones,corporativas,2024-06-01
