category,page_title,pdf_title,pdf_url,source_url
Destaques,Página Inicial,Nota Informativa,https://portalautarquico.dgal.gov.pt/ficheiros/?schema=f7664ca7-3a1a-4b25-9f46-2056eef44c33&channel=7e297fd2-8396-4448-a648-bdfd0ec9102a&content_id=718CC803-AF97-4FFB-9051-80285BC4629F&field=storage_image&lang=pt&ver=1&filetype=pdf&dtestate=2025-11-17103602,https://portalautarquico.dgal.gov.pt/pt-PT/destaques/nota-informativa---estatuto-de-pessoal-dos-bombeiros-profissionais-da-administracao-local-/
Destaques,Página Inicial,Nota Informativa Aplicação do SIADAP às Autarquias Locais,https://portalautarquico.dgal.gov.pt/ficheiros/?schema=f7664ca7-3a1a-4b25-9f46-2056eef44c33&channel=7e297fd2-8396-4448-a648-bdfd0ec9102a&content_id=252FCDA5-A399-43A5-A663-AEE408D951CD&field=storage_image&lang=pt&ver=1&filetype=pdf&dtestate=2025-02-28103840,https://portalautarquico.dgal.gov.pt/pt-PT/destaques/nota-informativa---aplicacao-do-siadap-as-autarquias-locais/
Destaques,Página Inicial,Programa,https://portalautarquico.dgal.gov.pt/ficheiros/?schema=f7664ca7-3a1a-4b25-9f46-2056eef44c33&channel=7e297fd2-8396-4448-a648-bdfd0ec9102a&content_id=B3CC3C0F-9A15-4A7E-A29E-63E4DF061C42&field=storage_image&lang=pt&ver=1&filetype=pdf&dtestate=2024-10-11173520,https://portalautarquico.dgal.gov.pt/pt-PT/destaques/v-encontro-nacional-caf/
Destaques,Página Inicial,"Tools, best practices and recommendations to reduce consumer
food waste – A compendium.",https://www.cncda.gov.pt/images/DocumentosLegislacao/Estudos_e_Relatorios/tools_best_practices_and_recommendations_to_reduce-KJNA31572ENN.pdf,https://portalautarquico.dgal.gov.pt/pt-PT/destaques/forum-europeu-de-desperdicio-de-alimentos-para-os-consumidores---sessoes-gravadas/
Destaques,Página Inicial,Para as escolas,https://portalautarquico.dgal.gov.pt/ficheiros/?schema=f7664ca7-3a1a-4b25-9f46-2056eef44c33&channel=266f4a32-848e-4d2c-99c6-ad5b5511d7fe&content_id=94531DD8-FE8B-4B49-88A9-7F734EA843DC&field=storage_image&lang=pt&ver=1&filetype=pdf&dtestate=2024-05-21151801,https://portalautarquico.dgal.gov.pt/pt-PT/destaques/forum-europeu-de-desperdicio-de-alimentos-para-os-consumidores---sessoes-gravadas/
Destaques,Página Inicial,"Para
os decisores políticos",https://portalautarquico.dgal.gov.pt/ficheiros/?schema=f7664ca7-3a1a-4b25-9f46-2056eef44c33&channel=266f4a32-848e-4d2c-99c6-ad5b5511d7fe&content_id=14A25928-F3EA-4B4D-8A97-47AC309B79C9&field=storage_image&lang=pt&ver=1&filetype=pdf&dtestate=2024-05-21151831,https://portalautarquico.dgal.gov.pt/pt-PT/destaques/forum-europeu-de-desperdicio-de-alimentos-para-os-consumidores---sessoes-gravadas/
Destaques,Página Inicial,Para as empresas e outras organizações do setor alimentar,https://portalautarquico.dgal.gov.pt/ficheiros/?schema=f7664ca7-3a1a-4b25-9f46-2056eef44c33&channel=266f4a32-848e-4d2c-99c6-ad5b5511d7fe&content_id=05941E34-FDBE-4FCE-BA79-B40391CB37D0&field=storage_image&lang=pt&ver=1&filetype=pdf&dtestate=2024-05-21151857,https://portalautarquico.dgal.gov.pt/pt-PT/destaques/forum-europeu-de-desperdicio-de-alimentos-para-os-consumidores---sessoes-gravadas/
Destaques,Página Inicial,Evento,https://portalautarquico.dgal.gov.pt/ficheiros/?schema=f7664ca7-3a1a-4b25-9f46-2056eef44c33&channel=266f4a32-848e-4d2c-99c6-ad5b5511d7fe&content_id=3032E0A1-65C5-4528-9CEE-B5AFABF90514&field=storage_image&lang=pt&ver=1&filetype=pdf&dtestate=2024-05-21150548,https://portalautarquico.dgal.gov.pt/pt-PT/destaques/participe-no-forum-europeu-sobre-desperdicio-alimentar-dos-consumidores/
Destaques,Página Inicial,Portaria n.º 110/2024/1,https://portalautarquico.dgal.gov.pt/ficheiros/?schema=f7664ca7-3a1a-4b25-9f46-2056eef44c33&channel=266f4a32-848e-4d2c-99c6-ad5b5511d7fe&content_id=7836C109-97B8-49AC-B89F-EAF2A99883D1&field=storage_image&lang=pt&ver=1&filetype=pdf&dtestate=2024-03-19171151,https://portalautarquico.dgal.gov.pt/pt-PT/destaques/publicacao-da-portaria-n---110-2024-1-que-altera-a-portaria-n---9-2023/
Destaques,Página Inicial,Despacho,https://portalautarquico.dgal.gov.pt/ficheiros/?schema=f7664ca7-3a1a-4b25-9f46-2056eef44c33&channel=266f4a32-848e-4d2c-99c6-ad5b5511d7fe&content_id=8510CA42-E4FB-4859-B68B-A6C5BCA2BC32&field=storage_image&lang=pt&ver=1&filetype=pdf&dtestate=2023-08-11125726,https://portalautarquico.dgal.gov.pt/pt-PT/destaques/despacho-apoios-financeiros-as-freguesias---despesas-covid19/
