title,pub_url,pub_type,date,pdf_title,pdf_url
GCA Report: progress and achievements 2020-2025,https://environment.ec.europa.eu/publications/gca-report-progress-and-achievements-2020-2025_en,,2026-03-16T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/47822cce-f89b-4fdd-9cab-beec03ca45c8_en?filename=GCA-2020-2025-Baseline-Report-260316.pdf
EU Ecolabel Fees Table 2026 - Tourist Accommodation services,https://environment.ec.europa.eu/publications/eu-ecolabel-fees-table-2026-tourist-accommodation-services_en,,2026-03-03T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/fc78f941-6160-403b-8b1b-058b816ac52d_en?filename=EU_Ecolabel_fees_table_2026_02-TAs-final.pdf
EU Ecolabel Fees Table 2026,https://environment.ec.europa.eu/publications/eu-ecolabel-fees-table-2026_en,,2026-03-03T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/081fb4e2-e371-4a44-b42f-90f7300729d5_en?filename=EU_Ecolabel_fees_table_2026_02-withoutTA-V4%20final.pdf
Commission Delegated Decision exempting certain economic operators that use pallet wrappings and straps from the 100% reuse requirements of these packaging formats,https://environment.ec.europa.eu/publications/commission-delegated-decision-exempting-certain-economic-operators-use-pallet-wrappings-and-straps_en,,2026-02-25T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/48fcf667-6660-4910-953c-59937ee71ef8_en?filename=C_2026_511_1_EN_ACT_part1_v4_0.pdf
7th National Report to the CBD on progress on the implementation of the Global Biodiversity Framework,https://environment.ec.europa.eu/publications/7th-national-report-cbd-progress-implementation-global-biodiversity-framework_en,,2026-02-12T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/c5a15594-3513-441c-978d-e5bc4bc26b53_en?filename=SWD_2026_66_1_EN_document_travail_service_part1_FINAL.pdf
Commission Delegated Regulation setting out derogations from the prohibition of destruction of unsold consumer products,https://environment.ec.europa.eu/publications/commission-delegated-regulation-setting-out-derogations-prohibition-destruction-unsold-consumer_en,,2026-02-09T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/d211580f-c888-4f4e-848d-c10da6f03ce6_en?filename=C_2026_659_1_EN_ACT_part1_FINAL.pdf
Commission Implementing Regulation on the details and format for the disclosure of information on discarded unsold consumer products,https://environment.ec.europa.eu/publications/commission-implementing-regulation-details-and-format-disclosure-information-discarded-unsold_en,,2026-02-09T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/dbbcab5d-1158-44a5-a443-9125333fe05d_en?filename=C_2026_660_1_EN_ACT_part1_FINAL.pdf
Commission Implementing Regulation on the details and format for the disclosure of information on discarded unsold consumer products,https://environment.ec.europa.eu/publications/commission-implementing-regulation-details-and-format-disclosure-information-discarded-unsold_en,,2026-02-09T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/efdc34bd-27ef-41c8-91c6-6e4528cfb45d_en?filename=C_2026_660_1_EN_annexe_acte_autonome_part1_FINAL.pdf
Commission Directive amending the Nitrates Directive as regards the use of certain fertilising materials from livestock manure,https://environment.ec.europa.eu/publications/commission-directive-amending-nitrates-directive-regards-use-certain-fertilising-materials-livestock_en,,2026-02-09T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/d3bd43bd-6daf-401a-80af-5a75a8278d2e_en?filename=C_2026_662_1_EN_ACT_part1_FINAL.pdf
Commission Directive amending the Nitrates Directive as regards the use of certain fertilising materials from livestock manure,https://environment.ec.europa.eu/publications/commission-directive-amending-nitrates-directive-regards-use-certain-fertilising-materials-livestock_en,,2026-02-09T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/46f98f27-96c9-4369-89dd-992156faf2ed_en?filename=C_2026_662_1_EN_annexe_acte_autonome_part1_FINAL.pdf
Mid-term review of the Zero Pollution Action Plan,https://environment.ec.europa.eu/publications/mid-term-review-zero-pollution-action-plan_en,,2026-01-29T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/65da0d2e-318f-459f-b369-f53ee0628c4b_en?filename=COM_2026_42_ZP-mid-term-review-final_0.PDF
EU Ecolabel – Paints and Varnishes User Manual,https://environment.ec.europa.eu/publications/eu-ecolabel-paints-and-varnishes-user-manual_en,,2026-01-12T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/f2146e5d-3004-4be7-b328-743af962fe37_en?filename=ENV_PV_UserManual_V2.0final%20version%20clean_March%202026.pdf
EU Ecolabel – Paints and Varnishes User Manual,https://environment.ec.europa.eu/publications/eu-ecolabel-paints-and-varnishes-user-manual_en,,2026-01-12T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/9b33976b-cbce-4fe7-a35c-9c56b506192f_en?filename=Checklist%20Paints%20and%20Varnishes%20Annex%20I_vf1_January%202026.pdf
EU Ecolabel – Paints and Varnishes User Manual,https://environment.ec.europa.eu/publications/eu-ecolabel-paints-and-varnishes-user-manual_en,,2026-01-12T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/76b95521-9221-4497-aa9f-ca0844e629f9_en?filename=Checklist%20Paints%20and%20Varnishes%20Annex%20II_vf1_Jan%202026.pdf
EU Ecolabel – Paints and Varnishes User Manual,https://environment.ec.europa.eu/publications/eu-ecolabel-paints-and-varnishes-user-manual_en,,2026-01-12T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/f5c9f799-1a11-4705-8e52-9e1b7bc1d47b_en?filename=Checklist%20Paints%20and%20Varnishes%20Annex%20III_vf1_Jan%202026.pdf
EU Ecolabel – Paints and Varnishes User Manual,https://environment.ec.europa.eu/publications/eu-ecolabel-paints-and-varnishes-user-manual_en,,2026-01-12T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/d5b1395d-caf5-448f-9ff7-5b54185e4a0a_en?filename=C1_Declaration_TiO2_SUPPLIER_vf1_Jan%202026.pdf
EU Ecolabel – Paints and Varnishes User Manual,https://environment.ec.europa.eu/publications/eu-ecolabel-paints-and-varnishes-user-manual_en,,2026-01-12T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/dfc5644c-e52c-432e-8f8b-3fdc8082bc59_en?filename=C1_Declaration_TiO2_PRODUCER_vf1_Jan%202026.pdf
EU Ecolabel – Paints and Varnishes User Manual,https://environment.ec.europa.eu/publications/eu-ecolabel-paints-and-varnishes-user-manual_en,,2026-01-12T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/43ecd017-9b79-499c-af2f-b10f29b00f61_en?filename=C4_Chemical_Supplier_declaration_vf2.0_March%202026.pdf
EU Ecolabel – Paints and Varnishes User Manual,https://environment.ec.europa.eu/publications/eu-ecolabel-paints-and-varnishes-user-manual_en,,2026-01-12T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/b85f608f-5697-4b96-9169-ae022b43fb3a_en?filename=Laboratory%20test%20reports-C2-C3-C4-C5_vf1_January%202026.pdf
Communication on Accelerating Europe’s transition to a circular economy: boosting the circularity of plastics,https://environment.ec.europa.eu/publications/communication-accelerating-europes-transition-circular-economy-boosting-circularity-plastics_en,,2025-12-23T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/60277c52-77f0-4860-b6cc-cdaf6665e336_en?filename=COM_2025_805_1_EN_ACT_part1_v3.pdf
Commission Implementing Decision granting a derogation on nitrates requested by Ireland (2025),https://environment.ec.europa.eu/publications/commission-implementing-decision-granting-derogation-nitrates-requested-ireland-2025_en,,2025-12-22T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/6fc16a59-423d-4e7d-aa2b-2eedd3247fd0_en?filename=Commission%20Implementing%20Decision%20granting%20a%20derogation%20on%20nitrates%20requested%20by%20Ireland_2025.pdf
Simplification of administrative burdens in environmental legislation,https://environment.ec.europa.eu/publications/simplification-administrative-burdens-environmental-legislation_en,,2025-12-10T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/502b572e-4ac3-47a8-95a7-ce619ec3e0ba_en?filename=COM_2025_980_1_EN_ACT_part1_v8.pdf
Simplification of administrative burdens in environmental legislation,https://environment.ec.europa.eu/publications/simplification-administrative-burdens-environmental-legislation_en,,2025-12-10T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/ad737347-bf74-476e-9159-a05214844cb6_en?filename=COM_2025_981_1_EN_ACT_part1_v4.pdf
Simplification of administrative burdens in environmental legislation,https://environment.ec.europa.eu/publications/simplification-administrative-burdens-environmental-legislation_en,,2025-12-10T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/4a96a176-3ac0-4702-b919-68510201d3c7_en?filename=COM_2025_982_1_EN_ACT_part1_v5.pdf
Simplification of administrative burdens in environmental legislation,https://environment.ec.europa.eu/publications/simplification-administrative-burdens-environmental-legislation_en,,2025-12-10T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/b7fc3a60-6895-441c-9a12-d9c37de5f3bb_en?filename=COM_2025_983_1_EN_ACT_part1_v5_0.pdf
Simplification of administrative burdens in environmental legislation,https://environment.ec.europa.eu/publications/simplification-administrative-burdens-environmental-legislation_en,,2025-12-10T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/6f650a70-c4f5-4c79-a8dc-6efaff290494_en?filename=COM_2025_984_1_EN_ACT_part1_v10.pdf
Simplification of administrative burdens in environmental legislation,https://environment.ec.europa.eu/publications/simplification-administrative-burdens-environmental-legislation_en,,2025-12-10T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/1ade2fac-9561-4b9e-9bc9-f17a29b28a5d_en?filename=COM_2025_984_1_EN_annexe_proposition_part1_v9.pdf
Simplification of administrative burdens in environmental legislation,https://environment.ec.europa.eu/publications/simplification-administrative-burdens-environmental-legislation_en,,2025-12-10T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/b7630722-8c4f-403b-b92b-be1d388d956f_en?filename=COM_2025_985_1_EN_ACT_part1_v6.pdf
Simplification of administrative burdens in environmental legislation,https://environment.ec.europa.eu/publications/simplification-administrative-burdens-environmental-legislation_en,,2025-12-10T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/b45b4ac2-7f40-4b82-acb3-815e134807b6_en?filename=COM_2025_986_1_EN_ACT_part1_v6.pdf
Simplification of administrative burdens in environmental legislation,https://environment.ec.europa.eu/publications/simplification-administrative-burdens-environmental-legislation_en,,2025-12-10T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/46a26a52-f84d-4a6e-bbe5-705546438c9d_en?filename=COM_2025_986_1_EN_annexe_proposition_part1_v5.pdf
Simplification of administrative burdens in environmental legislation,https://environment.ec.europa.eu/publications/simplification-administrative-burdens-environmental-legislation_en,,2025-12-10T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/93fd695e-c0d7-4b86-9795-810846b2ab6d_en?filename=COM_2025_986_2_EN_annexe_proposition_part1_v4.pdf
Simplification of administrative burdens in environmental legislation,https://environment.ec.europa.eu/publications/simplification-administrative-burdens-environmental-legislation_en,,2025-12-10T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/9cc9e1e8-13c4-45f3-b9bc-90e7e1b8133e_en?filename=SWD_2025_990_1_EN_autre_document_travail_service_part1_v3.pdf
Conceptualising coexistence with large carnivores in Europe,https://environment.ec.europa.eu/publications/conceptualising-coexistence-large-carnivores-europe_en,,2025-12-09T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/a86b304d-d6bc-49c2-a18d-2c25652cfa43_en?filename=Conceptualising%20coexistence%20with%20large%20carnivores%20in%20Europe.pdf
Evaluation of the National Emission Reduction Commitments Directive,https://environment.ec.europa.eu/publications/evaluation-national-emission-reduction-commitments-directive_en,,2025-12-01T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/8456571d-097a-4ace-a9f1-988e4e1393ca_en?filename=SWD%282025%29394_main_1_EN.pdf
Evaluation of the National Emission Reduction Commitments Directive,https://environment.ec.europa.eu/publications/evaluation-national-emission-reduction-commitments-directive_en,,2025-12-01T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/573f1bc3-12c4-498d-8c13-a21939d36fc5_en?filename=SWD%282025%29394_main_2_EN.pdf
Evaluation of the National Emission Reduction Commitments Directive,https://environment.ec.europa.eu/publications/evaluation-national-emission-reduction-commitments-directive_en,,2025-12-01T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/7b354f64-7c32-4f7d-b735-7050fbab059a_en?filename=SWD%282025%29394_main_3_EN_0.pdf
Bioeconomy Strategy Staff Working Document,https://environment.ec.europa.eu/publications/bioeconomy-strategy_en,,2025-11-27T12:00:00Z,Download notice,https://environment.ec.europa.eu/download-notice.html?legalContentId=cellar:f14dada6-cb74-11f0-8da2-01aa75ed71a1&noticeType=branch&callingUrl=%2Flegal-content%2FEN%2FTXT%2F%3Furi%3Dcelex%253A52025DC0960&lng=EN
Bioeconomy Strategy Staff Working Document,https://environment.ec.europa.eu/publications/bioeconomy-strategy_en,,2025-11-27T12:00:00Z,https://au.int/sites/default/files/documents/45336-doc-GIZ-AU_Continental_Circular_Action_V11.pdf,https://au.int/sites/default/files/documents/45336-doc-GIZ-AU_Continental_Circular_Action_V11.pdf
Bioeconomy Strategy Staff Working Document,https://environment.ec.europa.eu/publications/bioeconomy-strategy_en,,2025-11-27T12:00:00Z,Final-Summary-EAC-BIOECONOMY-STRATEGY.pdf,https://atpsnet.org/wp-content/uploads/2021/10/Final-Summary-EAC-BIOECONOMY-STRATEGY.pdf
2025 EU Bioeconomy Strategy factsheet,https://environment.ec.europa.eu/publications/2025-eu-bioeconomy-strategy-factsheet_en,,2025-11-25T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/b5ccc720-3520-4866-a925-8e72eab63edd_en
Final Report: Study supporting the evaluation of Directive 2012/19/EU on waste electrical and electronic equipment (WEEE),https://environment.ec.europa.eu/publications/final-report-study-supporting-evaluation-directive-201219eu-waste-electrical-and-electronic_en,,2025-07-02T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/8572b5bb-2416-44a7-aaa8-5e8f8a4661c4_en?filename=Study%20supporting%20WEEE%20evaluation_Final%20report.pdf
Staff working document evaluation of the Directive 2012/19/EU on waste electrical and electronic equipment (WEEE),https://environment.ec.europa.eu/publications/staff-working-document-evaluation-directive-201219eu-waste-electrical-and-electronic-equipment-weee_en,,2025-07-02T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/80a8ecfd-6dff-4cf6-80e5-762e3446fa80_en?filename=SWD_2025_184_1_EN_dts_evaluation_part1_v2.pdf
"Staff working document, Executive summary of the evaluation of Directive 2012/19/EU of the European Parliament and of the Council of 4 July 2012 on WEEE",https://environment.ec.europa.eu/publications/staff-working-document-executive-summary-evaluation-directive-201219eu-european-parliament-and_en,,2025-07-02T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/283a8659-7206-4d14-af2b-d65c2ea4c4f2_en?filename=SWD_2025_185_1_EN_dts_resume_evaluation_part1_v2.pdf
DIWASS Implementing Regulation,https://environment.ec.europa.eu/publications/diwass-implementing-regulation_en,,2025-07-02T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/11633156-5fea-4067-8170-212c852a0830_en?filename=C_2025_3932_1_EN_ACT_part1_v5.pdf
DIWASS Implementing Regulation Annex,https://environment.ec.europa.eu/publications/diwass-implementing-regulation-annex_en,,2025-07-02T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/9a78accf-18f0-4509-bce4-5bf8cc31c816_en?filename=C_2025_3932_1_EN_annexe_acte_autonome_part1_v5.pdf
2025 Environmental Implementation Review Country Report – AUSTRIA,https://environment.ec.europa.eu/publications/2025-environmental-implementation-review-country-report-austria_en,,2025-06-23T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/af92ff48-8d77-4f53-922a-23337958f471_en
2025 Environmental Implementation Review Country Report – BELGIUM,https://environment.ec.europa.eu/publications/2025-environmental-implementation-review-country-report-belgium_en,,2025-06-23T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/aa356fb0-7b11-49c0-aba1-9bdeb9b7cbd9_en
2025 Environmental Implementation Review Country Report – BULGARIA,https://environment.ec.europa.eu/publications/2025-environmental-implementation-review-country-report-bulgaria_en,,2025-06-23T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/a32c0256-f775-4896-82a3-c001bf3b0c5e_en
2025 Environmental Implementation Review Country Report – CROATIA,https://environment.ec.europa.eu/publications/2025-environmental-implementation-review-country-report-croatia_en,,2025-06-23T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/93744394-f22e-4496-a0a5-19a4e5931ccb_en
2025 Environmental Implementation Review Country Report – CYPRUS,https://environment.ec.europa.eu/publications/2025-environmental-implementation-review-country-report-cyprus_en,,2025-06-23T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/9a5b1460-813b-4065-8a0a-2900bc675832_en
2025 Environmental Implementation Review Country Report – CZECHIA,https://environment.ec.europa.eu/publications/2025-environmental-implementation-review-country-report-czechia_en,,2025-06-23T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/14b4d220-31ea-4356-b5ed-fe874e471fb5_en
2025 Environmental Implementation Review Country Report – DENMARK,https://environment.ec.europa.eu/publications/2025-environmental-implementation-review-country-report-denmark_en,,2025-06-23T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/3432a613-4b99-4396-87fc-e4bd81741c94_en
2025 Environmental Implementation Review Country Report – ESTONIA,https://environment.ec.europa.eu/publications/2025-environmental-implementation-review-country-report-estonia_en,,2025-06-23T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/8aec4a92-06ea-42f2-89a2-de79b3a541a1_en
2025 Environmental Implementation Review Country Report – FINLAND,https://environment.ec.europa.eu/publications/2025-environmental-implementation-review-country-report-finland_en,,2025-06-23T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/6574935b-484b-4e2a-aee4-c6945df8e9dd_en
2025 Environmental Implementation Review Country Report – FRANCE,https://environment.ec.europa.eu/publications/2025-environmental-implementation-review-country-report-france_en,,2025-06-23T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/055cf5f8-7bdb-4cc1-9a71-647ae80e6b53_en
2025 Environmental Implementation Review Country Report – GERMANY,https://environment.ec.europa.eu/publications/2025-environmental-implementation-review-country-report-germany_en,,2025-06-23T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/db2448db-6e80-4969-8d00-08d4a4a2575e_en
2025 Environmental Implementation Review Country Report – GREECE,https://environment.ec.europa.eu/publications/2025-environmental-implementation-review-country-report-greece_en,,2025-06-23T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/f8b15efd-6744-4fb8-92a7-25a67729384c_en
2025 Environmental Implementation Review Country Report – HUNGARY,https://environment.ec.europa.eu/publications/2025-environmental-implementation-review-country-report-hungary_en,,2025-06-23T12:00:00Z,Download,https://environment.ec.europa.eu/document/download/373af20d-2e61-4e49-9863-6862a9dd1cbb_en
