publication_title,pdf_title,pdf_url,publication_url,publication_type,date
Planning in a Polycrisis,Download PDF,https://go.lincolninst.edu/planning-in-a-polycrisis-pb.pdf,https://www.lincolninst.edu/publications/policy-briefs/planning-in-polycrisis/,Policy Briefs,"March 2026, English"
Planning in a Polycrisis,Download PDF,https://go.lincolninst.edu/planning-in-a-polycrisis-pfr.pdf,https://www.lincolninst.edu/publications/policy-focus-reports/planning-in-polycrisis/,Policy Focus Reports,"March 2026, English"
I’m HOME Manufactured Housing Industry Benchmark Report 2025,Download PDF,https://go.lincolninst.edu/Vermeer_WP26KV1.pdf,https://www.lincolninst.edu/publications/working-papers/im-home-manufactured-housing-industry-benchmark-report-2025/,Working Papers,"February 2026, English"
Using Public Land for Affordable Housing,Download PDF,https://go.lincolninst.edu/using-public-land-affordable-housing-pd.pdf,https://www.lincolninst.edu/publications/policy-downloads/using-public-land-affordable-housing-considerations-policymakers/,Policy Downloads,"February 2026, English"
Mainstreaming Scaling in the Lincoln Institute of Land Policy,Download PDF,https://go.lincolninst.edu/Linn_WP26JL1.pdf,https://www.lincolninst.edu/publications/working-papers/mainstreaming-scaling-lincoln-institute-land-policy/,Working Papers,"February 2026, English"
Staying Connected,Download PDF,https://go.lincolninst.edu/staying-connected-cs.pdf,https://www.lincolninst.edu/publications/case-studies/staying-connected-linking-habitats-across-boundaries/,Case Studies,"January 2026, English"
Nueva edición de Sistemas del impuesto predial en América Latina y el Caribe,Los resultados indican,https://publications.iadb.org/es/publications/spanish/viewer/El-potencial-oculto-Factores-determinantes-y-oportunidades-del-impuesto-a-la-propiedad-inmobiliaria-en-Am%C3%A9rica-Latina.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/nueva-edicion-sistemas-impuesto-predial/,Land Lines Magazine,
Segunda edición del Anuario de la vivienda de América Latina y el Caribe ya disponible,"plan parcial Triángulo de Fenicia en Bogotá, así como el proyecto de mejoramiento integral Juan Bobo en Medellín",https://publications.iadb.org/es/publications/spanish/viewer/Instrumentos-de-gestion-del-suelo-para-el-desarrollo-urbano-el-caso-del-reagrupamiento-parcelario-en-el-area-metropolitana-de-Guadalajara-Mexico.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/segunda-edicion-anuario-vivienda-alc-ya-disponible/,Land Lines Magazine,
Shaping Water-Resilient Agricultural Futures,Download PDF,https://go.lincolninst.edu/toolkit-shaping-water-resilient-agriculture-futures.pdf,https://www.lincolninst.edu/publications/working-papers/shaping-water-resilient-agricultural-futures-xsp-toolkit/,Working Papers,"January 2026, English"
Seven Need-to-Know Trends for Planners in 2026,federal actions,https://public-inspection.federalregister.gov/2025-01953.pdf,https://www.lincolninst.edu/publications/articles/seven-need-to-know-trends-for-planners-2026/,Articles,
"The Mechanics of Land Value Appreciation, Evaluation, and Capture in Six Intermediate Cities of Colombia",Download PDF,https://go.lincolninst.edu/Moreno_WP26JM1.pdf,https://www.lincolninst.edu/publications/working-papers/mechanics-land-value-appreciation-evaluation-capture-six-intermediate-cities-colombia/,Working Papers,"December 2025, English"
Environmental Remediation and Land Value Increment,Download PDF,https://go.lincolninst.edu/Maksimovska_WP26AM1.pdf,https://www.lincolninst.edu/publications/working-papers/environmental-remediation-land-value-increment-curious-case-lindane-macedonia/,Working Papers,"December 2025, English"
Vivienda vacante en ciudades argentinas,Download PDF,https://go.lincolninst.edu/DiVirgilio_WP26MD1.pdf,https://www.lincolninst.edu/publications/working-papers/vivienda-vacante-ciudades-argentinas-analisis-consumo-electrico/,Working Papers,"December 2025, Spanish"
"Farms, Forests, and Funding: Innovations in Conservation Finance",conservation easements,https://www.lincolninst.edu/app/uploads/legacy-files/pubfiles/2353_1693_Jacobs_WP14HJ1.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/farms-forests-and-funding-innovations-in-conservation-finance/,Land Lines Magazine,
"Farms, Forests, and Funding: Innovations in Conservation Finance",South Africa’s 37d tax incentive,https://wildernessfoundation.co.za/wp-content/uploads/2022/07/37D-Fact-Sheet-FINAL.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/farms-forests-and-funding-innovations-in-conservation-finance/,Land Lines Magazine,
Land LinesFall/Winter 2025,Download PDF,https://go.lincolninst.edu/land-lines-2025-fall-winter.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/issues/fall-winter-2025/,Land Lines Magazine,Fall/Winter 2025
Who Owns America,Download PDF,https://go.lincolninst.edu/whoa-mapping-corp-ownership-report.pdf,https://www.lincolninst.edu/publications/other/who-owns-america-mapping-corporate-ownership-residential-land/,Other,"November 2025, English"
Public Land for Public Good,Download PDF,https://go.lincolninst.edu/ll-fw25-mayors-desk.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/presidents-message-public-land-for-public-good/,Land Lines Magazine,
Terrenos públicos para beneficio público,Descargar PDF,https://go.lincolninst.edu/ll-fw25-span-mensaje-pres.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/terrenos-publicos-beneficio-publico/,Land Lines Magazine,
Estimación de la tasa de variación general del precio del suelo de Santiago de Chile,Download PDF,https://go.lincolninst.edu/Gasic_WP26IG1.pdf,https://www.lincolninst.edu/publications/working-papers/estimacion-tasa-variacion-general-precio-suelo-santiago-chile/,Working Papers,"November 2025, Spanish"
Understanding State Property Tax Limits,Download PDF,https://go.lincolninst.edu/property-tax-limits-pd.pdf,https://www.lincolninst.edu/publications/policy-downloads/understanding-state-property-tax-limits/,Policy Downloads,"November 2025, English"
Financing Sustainable Development in Latin American Cities,Ciudad Bolivar aerial cable,https://osc.dnp.gov.co/administrator/components/com_buenaspracticas/uploads/%5b7%5d%20-%20Cable%20aéreo%20Simón%20Bolívar.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/sustainable-development-in-latin-american-cities/,Land Lines Magazine,
Data Drain: The Land and Water Impacts of the AI Boom,176 terawatt-hours of electricity,https://www.congress.gov/crs_external_products/R/PDF/R48646/R48646.2.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/land-water-impacts-data-centers/,Land Lines Magazine,
Data Drain: The Land and Water Impacts of the AI Boom,reported,https://www.gstatic.com/gumdrop/sustainability/google-2024-environmental-report.pdf,https://www.lincolninst.edu/publications/land-lines-magazine/articles/land-water-impacts-data-centers/,Land Lines Magazine,
Applying Lessons from Protected Areas to Ecosystem Restoration Concerning Engagement of Indigenous Peoples and Local Communities,Download PDF,https://go.lincolninst.edu/Mansourian_WP26SM1.pdf,https://www.lincolninst.edu/publications/working-papers/applying-lessons-protected-areas-ecosystem-restoration-concerning-engagement-indigenous-peoples-local-communities/,Working Papers,"October 2025, English"
Who Owns the Land?,Download PDF,https://go.lincolninst.edu/Harris_WP26DH1.pdf,https://www.lincolninst.edu/publications/working-papers/who-owns-land-generative-friction-land-ownership-appalachia-forest-carbon-economy/,Working Papers,"October 2025, English"
Impacto de las obras de control de inundaciones en el valor inmobiliario y el desarrollo urbano,Download PDF,https://go.lincolninst.edu/Toribio_WP26BT1.pdf,https://www.lincolninst.edu/publications/working-papers/impacto-obras-control-inundaciones-valor-inmobiliario-desarrollo-urbano-vega-cildanez-buenos-aires/,Working Papers,"October 2025, Spanish"
Just Transitions for Forests,Download PDF,https://go.lincolninst.edu/Dempsey_WP26JD1.pdf,https://www.lincolninst.edu/publications/working-papers/just-transitions-forests-synergies-contradictions-rio-convention-implementation-plans/,Working Papers,"October 2025, English"
Transformaciones urbanas y salud fiscal de la Ciudad de Buenos Aires en la postpandemia,Download PDF,https://go.lincolninst.edu/Diaz_WP26BD1.pdf,https://www.lincolninst.edu/publications/working-papers/transformaciones-urbanas-salud-fiscal-buenos-aires-postpandemia/,Working Papers,"October 2025, Spanish"
Post-COVID Trends in Working from Home and Property Prices,Download PDF,https://go.lincolninst.edu/Goytia_WP26CG1.pdf,https://www.lincolninst.edu/publications/working-papers/post-covid-trends-work-home-property-prices-cell-phone-data-buenos-aires/,Working Papers,"October 2025, English"
Progressive Property Taxes,Download PDF,https://go.lincolninst.edu/Echavarria_WP26AE1.pdf,https://www.lincolninst.edu/publications/working-papers/progressive-property-taxes-rates-payments-large-mexican-municipalities/,Working Papers,"October 2025, English"
Assessing the Doom Loop,Download PDF,https://go.lincolninst.edu/Chapple_WP26KC1.pdf,https://www.lincolninst.edu/publications/working-papers/assessing-doom-loop-scenarios-four-north-american-downtowns/,Working Papers,"October 2025, English"
Highway Capping,Download PDF,https://go.lincolninst.edu/Cohen_WP26JC1.pdf,https://www.lincolninst.edu/publications/working-papers/highway-capping-how-adding-new-land-feather-cap/,Working Papers,"October 2025, English"
How Urban Planning and Governance Reshape Future Mobility,Download PDF,https://go.lincolninst.edu/Lin_WP26ZL1.pdf,https://www.lincolninst.edu/publications/working-papers/urban-planning-governance-reshape-future-mobility-robotaxi-san-francisco-wuhan/,Working Papers,"October 2025, English"
Managing human-wildlife conflicts exacerbated by urbanization in China,Download PDF,https://go.lincolninst.edu/Xiong_WP26LX1.pdf,https://www.lincolninst.edu/publications/working-papers/managing-human-wildlife-conflicts-urbanization-china-generational-values/,Working Papers,"October 2025, English"
Standing on a Lot of Love,Download PDF,https://go.lincolninst.edu/Gragg_WP25MG1.pdf,https://www.lincolninst.edu/publications/working-papers/standing-lot-love-heirs-property-conservation-climate-resilience-north-carolina/,Working Papers,"September 2025, English"
Fiscal Impacts of Work-from-Home on Commercial Property Values in the United States,Download PDF,https://go.lincolninst.edu/Quintanilla_WP26LQ1.pdf,https://www.lincolninst.edu/publications/working-papers/fiscal-impacts-work-from-home-commercial-property-values-united-states/,Working Papers,"September 2025, English"
Between Promise and Practice,Download PDF,https://go.lincolninst.edu/Kubitza_WP26CK1.pdf,https://www.lincolninst.edu/publications/working-papers/between-promise-practice-role-carbon-standards-community-engagement-indonesia-madagascar/,Working Papers,"September 2025, English"
Building a Coalition,Download PDF,https://go.lincolninst.edu/toolkit-building-coalition-mpact.pdf,https://www.lincolninst.edu/publications/working-papers/building-coalition-steps-changing-built-environment-community-toolkit/,Working Papers,"September 2025, English"
Activating a Coalition,Download PDF,https://go.lincolninst.edu/toolkit-activating-coalition-mpact.pdf,https://www.lincolninst.edu/publications/working-papers/activating-coalition-examples-activating-connecting-coalition-toolkit/,Working Papers,"September 2025, English"
