publication_title,pdf_title,pdf_url,publication_url,date
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2023-047-l-world-migration-report-2024_11.pdf,https://publications.iom.int/books/world-migration-report-2024,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/int._migration_vol._383_special_issue_12000-perspectives_on_trafficking_of_migrants.pdf,https://publications.iom.int/books/perspective-trafficking-migrants,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-086-r-emn-sustainable-labour-market-integration-of-migrants-en.pdf,https://publications.iom.int/books/sustainable-labour-market-integration-migrants-drivers-skills-mismatch-and-skills-matching,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2026-005-r-iom_knowledge_impact_report_2024-25-en.pdf,https://publications.iom.int/books/iom-knowledge-management-impact-report-2024-2025,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2026-010-l-cost-benefit-kahrizes.pdf,https://publications.iom.int/books/cost-benefit-analysis-kahrizes-and-subartesian-wells,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-077-r-human-mobility-in-the-context-of-climate-change-arabic.pdf,https://publications.iom.int/books/human-mobility-context-climate-change-environmental-degradation-and-disaster-risks-arabic,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2023-158-mobilite-humaine-changement-climatique-tchad-fr.pdf,https://publications.iom.int/books/etude-sur-la-mobilite-humaine-dans-le-contexte-du-changement-climatique-de-la-degradation,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2024-066-r-international-returnee-migrants-telangana-en_0.pdf,https://publications.iom.int/books/international-returnee-migrants-telangana-survey,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2026-006-l_challenges_and_opportunities_in_albania.pdf,https://publications.iom.int/books/sfidat-dhe-mundesite-integrimin-e-te-kthyerve-dhe-angazhimin-e-diaspores-shqiptare,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2026-004-r-climate-change-migration-moldova-rom.pdf,https://publications.iom.int/books/schimbarile-climatice-migratia-si-adaptarea-republica-moldova-studiu-de-caz-privind,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2026-009-l-mgi-local-provincia-de-tierra-del-fuego-argentina.pdf,https://publications.iom.int/books/indicadores-de-gobernanza-de-la-migracion-nivel-local-perfil-2025-provincia-de-tierra-del,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-088-r-fortalecimiento-de-las-vias-regulares-de-migracion-laboral_es.pdf,https://publications.iom.int/books/fortalecimiento-de-las-vias-regulares-de-migracion-laboral-entre-paises-de-centroamerica,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-035-el-climate-trafficking-infrastructure.pdf,https://publications.iom.int/books/climate-chains-knowledge-bite-2-climate-trafficking-infrastructure-and-cash-programming,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-034-el-climate-trafficking-gender.pdf,https://publications.iom.int/books/climate-chains-knowledge-bite-1-climate-trafficking-and-gender,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-045-el-post-flood-summary-guidance-note.pdf,https://publications.iom.int/books/ioms-post-flood-reconstruction-intervention-sindh-pakistan-examining-contributions-summary-guidance-note,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-039-el-iom-post-flood-reconstruction.pdf,https://publications.iom.int/books/ioms-post-flood-reconstruction-intervention-sindh-pakistan-examining-contributions-resilience,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-082-r-mgi-local-oromia-regional-state-en.pdf,https://publications.iom.int/books/local-migration-governance-indicator-profile-2025-oromia-regional-state,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-053-r-bilan-annuel-oim-maroc-fr.pdf,https://publications.iom.int/books/bilan-annuel-oim-maroc-resultats-cles-2024,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-068-r-europe-central-asia-region-on-move-2023-2024.pdf,https://publications.iom.int/books/europe-and-central-asia-region-move-migration-data-report-2023-2024,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-050-el-local-mgi-municipality-of-tirana-albania.pdf,https://publications.iom.int/books/local-migration-governance-indicators-profile-2025-municipality-tirana-albania,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-070-r-advancing-skills-mobility-asean-en.pdf,https://publications.iom.int/books/advancing-skills-mobility-recognition-and-development-asean-unlocking-opportunities-migrant,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2024-086-el-build-more-effective-ways.pdf,https://publications.iom.int/books/cash-based-interventions-and-mobility-review-current-approaches,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-094-r-climate-change-health-impacts-vietnam-vi.pdf,https://publications.iom.int/books/climate-change-and-its-health-impacts-case-study-internal-migrant-workers-vietnamese,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-033-l-challenges-and-opportunities-in-albania.pdf,https://publications.iom.int/books/challenges-and-opportunities-albanias-returnee-integration-and-diaspora-engagement,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-065-r-iom-rom-mena.pdf,https://publications.iom.int/books/region-move-regional-mobility-report-middle-east-and-north-africa-2025,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-031-l-fire-safety-in-displacement.pdf,https://publications.iom.int/books/fire-safety-displacement-quantifying-risk-informing-response,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-085-r-driving-solutions-to-internal-displacement.pdf,https://publications.iom.int/books/driving-solutions-internal-displacement-compendium-projects,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-092-r-extracontinental-migration-americas-en.pdf,https://publications.iom.int/books/extracontinental-migration-transit-through-americas-characterization-needs-and-challenges,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-030-l-cfm-toolkit_0.pdf,https://publications.iom.int/books/accountability-affected-people-iom-institutional-guidance-community-feedback-mechanisms,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-081-r-dynamic-estimates-displacement-disaster-regions-en.pdf,https://publications.iom.int/books/dynamic-estimates-displacement-disaster-regions-policy-driven-framework-triangulating-data,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2024-075-r-a-framework-to-empower.pdf,https://publications.iom.int/books/framework-empower-migrant-communities-towards-climate-resilience-2025,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-084-r-document-forgery-identity-theft-en.pdf,https://publications.iom.int/books/document-forgery-and-identity-theft-context-irregular-migration-central-america-mexico-and,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-046-r-investment-readiness-baseline-study-iraq-en.pdf,https://publications.iom.int/books/investment-readiness-baseline-study,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-027-l-understanding-climate-change-migration-and-health-nexus.pdf,https://publications.iom.int/books/understanding-climate-change-migration-and-health-nexus-insights-mena-region,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-037-r-identity-management-manual.pdf,https://publications.iom.int/books/identity-management-manual,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-067-r-mujeres-desplazadas-internas-mexico-es.pdf,https://publications.iom.int/books/mujeres-desplazadas-internas-en-mexico-los-impactos-nivel-individual-y-comunitario,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-072-r-kurdistan-region-of-iraq_0.pdf,https://publications.iom.int/books/local-migration-governance-indicators-profile-2025-kurdistan-region-iraq,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-073-r-migration-policy-insights-2024-in-focus_0.pdf,https://publications.iom.int/books/migration-policy-insights-2024-focus-towards-policy-excellence-transformative-change,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-083-r-climate-change-health-impacts-vietnam-en.pdf,https://publications.iom.int/books/climate-change-and-its-health-impacts-case-study-internal-migrant-workers-hanoi-viet-nam,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-018-r-cash-based-interventions-2024-en.pdf,https://publications.iom.int/books/iom-cash-based-interventions-annual-report-and-case-studies-2024,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-078-r-wmr2024-ch1-korean_0.pdf,https://publications.iom.int/books/world-migration-report-2024-chapter-1-korean,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-079-r-wmr2024-ch2-korean_0.pdf,https://publications.iom.int/books/world-migration-report-2024-chapter-2-korean,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-080-r-wmr2024-ch3-korean.pdf,https://publications.iom.int/books/world-migration-report-2024-chapter-3-korean,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-025-l-wmr2024-ch1-it.pdf,https://publications.iom.int/books/rapporto-mondiale-sulle-migrazioni-2024-capitolo-1,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-028-l-wmr2024-ch2-it_0.pdf,https://publications.iom.int/books/rapporto-mondiale-sulle-migrazioni-2024-capitolo-2,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-029-l-wmr2024-ch3-it.pdf,https://publications.iom.int/books/rapporto-mondiale-sulle-migrazioni-2024-capitolo-3,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-008-el-mp-seychelles-2024.pdf,https://publications.iom.int/books/migration-seychelles-country-profile-2024,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2024-081-el-gendermigrationgambia.pdf,https://publications.iom.int/books/gendered-assessment-socioeconomic-impacts-migration-families-staying-behind-gambia,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2024-089-r-climate-change-migration-en.pdf,https://publications.iom.int/books/climate-change-and-migration,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2024-082-r-canada-orientation-abroad-participant-workbook-ug.pdf,https://publications.iom.int/books/canadian-orientation-abroad-participant-workbook-uyghur,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-013-el-comparative-report-for-create.pdf,https://publications.iom.int/books/climate-chains-mapping-relationship-between-climate-trafficking-persons-and-building-CREATE,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-033-el-climate-chains-ethiopia.pdf,https://publications.iom.int/books/climate-chains-mapping-relationship-between-climate-trafficking-persons-and-building-Ethiopia,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-032-elc-climate-chains-mapping-philippines.pdf,https://publications.iom.int/books/climate-chains-mapping-relationship-between-climate-trafficking-persons-and-building,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-034-r-legal-identity-gender-migration-en.pdf,https://publications.iom.int/books/legal-identity-gender-and-migration-understanding-barriers-access,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-040-r-from-displacement-to-resilience.pdf,https://publications.iom.int/books/displacement-resilience-aid-economic-recovery-and-social-cohesion-post-war-iraq,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-075-r-migracion-extracontinental-en-transito-por-las-americas.pdf,https://publications.iom.int/books/migracion-extracontinental-en-transito-por-las-americas-caracterizacion-necesidades-y-retos,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-026-el-mgi-on-labour-migration_0.pdf,https://publications.iom.int/books/migration-governance-insights-data-driven-perspectives-enhance-labour-migration-pathways,
IOM Publications Platform,Download,https://publications.iom.int/system/files/pdf/pub2025-055-r-toolkit-circular-economy-e-waste-displacement-settings-en.pdf,https://publications.iom.int/books/toolkit-developing-circular-economy-e-waste-displacement-settings,
